id,is_save,is_confirm,last_edited_time,created_time,continent,country,continent_name,name,latitude,longitude,updated_date,resource,resource_type,commodity_type,production,consumption,pct_total_production,pct_total_consumption,total_resource_type_production,total_resource_type_consumption,import_usd,export_usd,import_qty,export_qty
1161,True,True,2016-11-18 10:27:32.259887+00:00,2016-11-18 10:27:32.259919+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.259979+00:00,Gulf Coast Gasoline Futures,energy,gas,73848.0,0.0,0.12,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1162,True,True,2016-11-18 10:27:32.275049+00:00,2016-11-18 10:27:32.275081+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.275141+00:00,MiNY Gasoline Futures,energy,gas,73848.0,0.0,0.12,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1163,True,True,2016-11-18 10:27:32.287271+00:00,2016-11-18 10:27:32.287303+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.287364+00:00,MiNY Natural Gas Futures,energy,gas,73848.0,0.0,0.12,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1164,True,True,2016-11-18 10:27:32.296337+00:00,2016-11-18 10:27:32.296370+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.296436+00:00,Natural Gas Futures,energy,gas,73848.0,0.0,0.12,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1165,True,True,2016-11-18 10:27:32.309302+00:00,2016-11-18 10:27:32.309334+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.309394+00:00,Propane Futures,energy,gas,73848.0,0.0,0.12,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1166,True,True,2016-11-18 10:27:32.316015+00:00,2016-11-18 10:27:32.316045+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.316105+00:00,RBOB Gasoline Futures,energy,gas,73848.0,0.0,0.12,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1167,True,True,2016-11-18 10:27:32.344985+00:00,2016-11-18 10:27:32.345017+00:00,Continent object,Singapore,Asia,Singapore,1,103,2016-11-18 10:27:32.345076+00:00,Soybean Oil Futures,Grain,oil,37399.44,0.0,0.78,0.0,47948.0,0.0,0.0,0.0,0.0,0.0
1168,True,True,2016-11-18 10:27:32.351269+00:00,2016-11-18 10:27:32.351298+00:00,Continent object,Singapore,Asia,Singapore,1,103,2016-11-18 10:27:32.351356+00:00,Brent Crude,energy,oil,37399.44,0.0,0.78,0.0,47948.0,0.0,0.0,0.0,0.0,0.0
1169,True,True,2016-11-18 10:27:32.358683+00:00,2016-11-18 10:27:32.358714+00:00,Continent object,Singapore,Asia,Singapore,1,103,2016-11-18 10:27:32.358774+00:00,Brent Crude Oil Futures,energy,oil,37399.44,0.0,0.78,0.0,47948.0,0.0,0.0,0.0,0.0,0.0
1170,True,True,2016-11-18 10:27:32.364403+00:00,2016-11-18 10:27:32.364432+00:00,Continent object,Singapore,Asia,Singapore,1,103,2016-11-18 10:27:32.364489+00:00,Crude Oil Futures,energy,oil,37399.44,0.0,0.78,0.0,47948.0,0.0,0.0,0.0,0.0,0.0
1171,True,True,2016-11-18 10:27:32.373415+00:00,2016-11-18 10:27:32.373447+00:00,Continent object,Singapore,Asia,Singapore,1,103,2016-11-18 10:27:32.373507+00:00,Gulf Coast Diesel Futures,energy,oil,37399.44,0.0,0.78,0.0,47948.0,0.0,0.0,0.0,0.0,0.0
1172,True,True,2016-11-18 10:27:32.380060+00:00,2016-11-18 10:27:32.380089+00:00,Continent object,Singapore,Asia,Singapore,1,103,2016-11-18 10:27:32.380147+00:00,Heating Oil,energy,oil,37399.44,0.0,0.78,0.0,47948.0,0.0,0.0,0.0,0.0,0.0
1173,True,True,2016-11-18 10:27:32.387735+00:00,2016-11-18 10:27:32.387768+00:00,Continent object,Singapore,Asia,Singapore,1,103,2016-11-18 10:27:32.387826+00:00,Heating Oil Futures,energy,oil,37399.44,0.0,0.78,0.0,47948.0,0.0,0.0,0.0,0.0,0.0
