Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AFAM,Almost Family Inc,45.7,474055148.6,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
ALNY,"Alnylam Pharmaceuticals, Inc.",43.5,3732903301.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,21.26,495265646.56,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,806.65,555974307816.85,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,827.18,570124376049.02,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,22.79,25068430.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",3.53,31450891.53,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
ASPS,Altisource Portfolio Solutions S.A.,27.04,510450682.56,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
AIMC,Altra Industrial Motion Corp.,35.95,930541411.85,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
AMAG,"AMAG Pharmaceuticals, Inc.",23,786824089,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation plc,3.05,762197199.05,249900721,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",19.52,137253904,n/a,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk
AYA,Amaya Inc.,14.55,2110763800.35,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/aya
AMZN,"Amazon.com, Inc.",796.92,378669708696.84,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",21.88,987264721.44,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",11.36,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",53.77,1780438369.78,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,56.45,3975596642.15,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
DOX,Amdocs Limited,58.02,8516568047.28,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
AMDA,Amedica Corporation,0.6713,17723998.9213,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,43.08,1446178411.08,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
UHAL,Amerco,368.23,7220175775.24,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
ATAX,"America First Multifamily Investors, L.P.",5.425,326872134.4,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",12.61,41338102000,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AAL,"American Airlines Group, Inc.",47.08,24393332344.48,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
ACSF,"American Capital Senior Floating, Ltd.",12.7,127001270,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acsf
AETI,"American Electric Technologies, Inc.",1.6,13337548.8,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AMNB,"American National Bankshares, Inc.",35.45,305418517.85,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,122.75,3303756839,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
AOBC,American Outdoor Brands Corporation,21,1182957594,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aobc
APEI,"American Public Education, Inc.",25.75,414470867,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
ARII,"American Railcar Industries, Inc.",46.2,894516638.4,n/a,n/a,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
AMRB,American River Bankshares,15.7,104508525.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
AMSWA,"American Software, Inc.",10.34,302381274.58,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,7.12,101098318.24,n/a,n/a,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,75.75,1230982116.75,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
CRMT,"America&#39;s Car-Mart, Inc.",42.85,338576704,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,42.9,1498131234.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",61.95,1191306863.25,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,3.65,68997672.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,26.5,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp
ATLO,Ames National Corporation,32.25,300276944.25,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,158.84,118164645611.32,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
FOLD,"Amicus Therapeutics, Inc.",5.54,788487120.3,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
AMKR,"Amkor Technology, Inc.",10.39,2469650842.2,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AMPH,"Amphastar Pharmaceuticals, Inc.",18.61,856502880.78,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph
IBUY,Amplify Online Retail ETF,27.909,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibuy
