Date,Close,High,Low,Open,Volume
2017-05-22 09:40:00,1.64,1.7,1.63,1.67,649984.0
2017-05-22 09:45:00,1.63,1.66,1.58,1.65,670486.0
2017-05-22 09:50:00,1.63,1.64,1.6,1.6397,179422.0
2017-05-22 09:55:00,1.5899,1.64,1.56,1.6301,329345.0
2017-05-22 10:00:00,1.6024,1.605,1.5801,1.59,119450.0
2017-05-22 10:05:00,1.564,1.608,1.54,1.605,273149.0
2017-05-22 10:10:00,1.56,1.58,1.55,1.56,71659.0
2017-05-22 10:15:00,1.5401,1.56,1.52,1.56,211108.0
2017-05-22 10:20:00,1.56,1.5699,1.54,1.545,83705.0
2017-05-22 10:25:00,1.5501,1.57,1.5417,1.56,123076.0
2017-05-22 10:30:00,1.5249,1.5576,1.51,1.5501,164060.0
2017-05-22 10:35:00,1.521,1.53,1.52,1.5254,47585.0
2017-05-22 10:40:00,1.5479,1.5479,1.51,1.52,82231.0
2017-05-22 10:45:00,1.53,1.54,1.51,1.54,52827.0
2017-05-22 10:50:00,1.5265,1.53,1.51,1.5217,33900.0
2017-05-22 10:55:00,1.5299,1.53,1.52,1.5252,30212.0
2017-05-22 11:00:00,1.5265,1.53,1.51,1.523,30208.0
2017-05-22 11:05:00,1.5416,1.55,1.5289,1.53,62699.0
2017-05-22 11:10:00,1.53,1.55,1.53,1.5489,48325.0
2017-05-22 11:15:00,1.53,1.54,1.53,1.532,31567.0
2017-05-22 11:20:00,1.5461,1.5499,1.53,1.5301,32010.0
2017-05-22 11:25:00,1.53,1.55,1.52,1.5499,42443.0
2017-05-22 11:30:00,1.5198,1.5398,1.51,1.5398,39507.0
2017-05-22 11:35:00,1.4901,1.5199,1.48,1.515,138052.0
2017-05-22 11:40:00,1.52,1.52,1.48,1.49,52332.0
2017-05-22 11:45:00,1.509,1.52,1.5,1.5199,38214.0
2017-05-22 11:50:00,1.51,1.51,1.5,1.5,11621.0
2017-05-22 11:55:00,1.51,1.52,1.5001,1.51,27434.0
2017-05-22 12:00:00,1.5299,1.53,1.51,1.51,22179.0
2017-05-22 12:05:00,1.5298,1.53,1.52,1.5299,3780.0
2017-05-22 12:10:00,1.5299,1.53,1.52,1.53,13951.0
2017-05-22 12:15:00,1.515,1.5299,1.51,1.5299,12932.0
2017-05-22 12:20:00,1.52,1.52,1.51,1.5199,11200.0
2017-05-22 12:25:00,1.52,1.52,1.51,1.52,10225.0
